股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H
1,2005/1/31,0.9075
1,2005/2/28,0.7836
1,2005/3/31,0.8823
1,2005/4/29,0.8277
1,2005/5/31,0.7782
1,2005/6/30,0.7628
1,2005/7/29,0.7914
1,2005/8/31,0.7783
1,2005/9/30,0.8098
1,2005/10/31,0.7178
1,2005/11/30,0.7476
1,2005/12/30,0.7509
1,2006/1/25,0.6196
1,2006/2/28,0.6604
1,2006/3/31,0.174
1,2006/4/28,0.8896
1,2006/5/31,0.7334
1,2006/6/30,0.7374
1,2006/7/31,0.8578
1,2006/8/31,0.8782
1,2006/9/29,0.8556
1,2006/10/31,0.84
1,2006/11/30,1.1677
1,2006/12/29,1.159
1,2007/1/31,1.339
1,2007/2/28,1.1946
1,2007/3/30,0.9757
1,2007/4/30,1.0873
1,2007/5/31,1.1557
1,2007/6/29,0.9902
1,2007/7/31,0.9338
1,2007/8/31,0.899
1,2007/9/28,0.9591
1,2007/10/31,0.8117
1,2007/11/30,1.0207
1,2007/12/28,0.9768
1,2008/1/31,0.9475
1,2008/2/29,0.988
1,2008/3/31,0.9976
1,2008/4/30,0.8965
1,2008/5/30,0.9535
1,2008/6/30,0.9773
1,2008/7/31,0.8385
1,2008/8/29,0.759
1,2008/9/26,0.7589
1,2008/10/31,0.7515
1,2008/11/28,0.7075
1,2008/12/31,0.7629
1,2009/1/23,0.8854
1,2009/2/27,0.9683
1,2009/3/31,0.9417
1,2009/4/30,0.9328
1,2009/5/27,0.9199
1,2009/6/30,0.9328
1,2009/7/31,0.9455
1,2009/8/31,1.2757
1,2009/9/30,1.1863
1,2009/10/30,1.2476
1,2009/11/30,1.3348
1,2009/12/31,1.3547
1,2010/1/29,1.3306
1,2010/2/26,1.3135
1,2010/3/31,1.4276
1,2010/4/30,1.4214
1,2010/5/31,1.4398
1,2010/6/30,1.2457
1,2010/7/30,1.2457
1,2010/8/31,1.2457
1,2010/9/30,1.214
1,2010/10/29,1.0645
1,2010/11/30,1.0616
1,2010/12/31,1.0107
1,2011/1/31,0.9865
1,2011/2/28,0.928
1,2011/3/31,0.8701
1,2011/4/29,0.7588
1,2011/5/31,0.7095
1,2011/6/30,0.5725
1,2011/7/29,0.4206
1,2011/8/31,0.5202
1,2011/9/30,0.5219
1,2011/10/31,0.2967
1,2011/11/30,0.376
1,2011/12/30,0.2881
1,2012/1/31,0.2972
1,2012/2/29,0.2425
1,2012/3/30,0.3053
1,2012/4/27,0.3831
1,2012/5/31,0.3434
1,2012/6/29,0.3934
1,2012/7/31,0.3643
1,2012/8/31,0.3575
1,2012/9/28,0.2965
1,2012/10/31,0.2474
1,2012/11/30,0.1956
1,2012/12/31,0.8031
1,2013/1/31,1.0118
1,2013/2/28,1.2258
1,2013/3/29,1.2763
1,2013/4/26,1.3436
1,2013/5/31,1.2435
1,2013/6/28,1.3687
1,2013/7/31,1.3712
1,2013/8/30,1.3695
1,2013/9/30,1.3888
1,2013/10/31,1.269
1,2013/11/29,1.3501
1,2013/12/31,1.3664
1,2014/1/30,1.156
1,2014/2/28,1.1318
1,2014/3/31,1.0404
1,2014/4/30,0.9968
1,2014/5/30,1.0027
1,2014/6/30,0.3149
1,2014/7/31,0.6226
1,2014/8/29,0.3206
1,2014/9/30,-0.0381
1,2014/10/31,0.4035
1,2014/11/28,0.6634
1,2014/12/31,0.0562
1,2015/1/30,-0.387
1,2015/2/27,-0.5239
1,2015/3/31,-0.133
1,2015/4/30,0.329
1,2015/5/29,-0.192
1,2015/6/30,0.0994
1,2015/7/31,0.359
1,2015/8/31,0.4197
1,2015/9/30,0.4629
1,2015/10/30,0.4542
1,2015/11/30,0.4482
1,2015/12/31,0.4997
1,2016/1/29,0.5152
1,2016/2/29,0.5222
1,2016/3/31,0.5218
1,2016/4/29,0.4022
1,2016/5/31,0.5682
1,2016/6/30,0.5769
1,2016/7/29,0.5394
1,2016/8/31,0.5358
1,2016/9/30,0.5338
1,2016/10/31,0.5609
1,2016/11/30,0.574
1,2016/12/30,0.5859
1,2017/1/26,0.5807
1,2017/2/28,0.5412
1,2017/3/31,0.4563
1,2017/4/28,0.4739
1,2017/5/31,0.3448
1,2017/6/30,0.3891
1,2017/7/31,0.3913
1,2017/8/31,0.4594
1,2017/9/29,0.3463
1,2017/10/31,0.3865
1,2017/11/30,-0.0431
1,2017/12/29,-0.4266
1,2018/1/31,-0.4627
1,2018/2/28,0.0826
1,2018/3/30,-0.1275
1,2018/4/27,-0.1423
1,2018/5/31,-0.121
1,2018/6/29,0.5379
1,2018/7/31,0.4512
1,2018/8/31,-0.0856
1,2018/9/28,0.0862
1,2018/10/31,0.0479
1,2018/11/30,0.0242
1,2018/12/28,0.0813
2,2005/1/31,0.687
2,2005/2/28,0.5776
2,2005/3/31,0.5114
2,2005/4/28,0.3396
2,2005/5/31,0.5261
2,2005/6/30,0.5621
2,2005/7/29,0.5305
2,2005/8/31,0.2388
2,2005/9/30,0.1385
2,2005/10/31,0.0159
2,2005/11/4,0.0129
2,2005/12/30,0.1003
2,2006/1/25,0.3699
2,2006/2/28,0.5872
2,2006/3/31,0.5138
2,2006/4/28,0.2269
2,2006/5/31,-0.661
2,2006/6/30,-0.6869
2,2006/7/31,-0.3469
2,2006/8/31,-0.2613
2,2006/9/29,-0.2957
2,2006/10/31,-0.3488
2,2006/11/30,0.1615
2,2006/12/29,0.3427
2,2007/1/31,-0.0046
2,2007/2/28,-0.1311
2,2007/3/30,0.0093
2,2007/4/30,-0.0202
2,2007/5/31,0.3
2,2007/6/29,0.3781
2,2007/7/31,0.4489
2,2007/8/31,0.5035
2,2007/9/28,0.633
2,2007/10/31,0.3554
2,2007/11/30,0.694
2,2007/12/28,0.5804
2,2008/1/31,0.7551
2,2008/2/29,0.8334
2,2008/3/31,0.6621
2,2008/4/30,0.9614
2,2008/5/30,0.7073
2,2008/6/30,0.8343
2,2008/7/31,0.3977
2,2008/8/29,0.2388
2,2008/9/26,0.2777
2,2008/10/31,0.1641
2,2008/11/28,0.3465
2,2008/12/31,0.4556
2,2009/1/23,0.5158
2,2009/2/27,0.56
2,2009/3/31,0.7583
2,2009/4/30,0.7614
2,2009/5/27,0.7664
2,2009/6/30,0.7554
2,2009/7/31,0.7085
2,2009/8/31,0.8552
2,2009/9/30,0.8454
2,2009/10/30,1.1677
2,2009/11/30,1.1234
2,2009/12/31,1.1274
2,2010/1/29,1.1726
2,2010/2/26,1.1817
2,2010/3/31,1.2391
2,2010/4/30,1.297
2,2010/5/31,1.2078
2,2010/6/30,0.969
2,2010/7/30,1.2165
2,2010/8/31,1.077
2,2010/9/30,1.0443
2,2010/10/29,1.1028
2,2010/11/30,1.3022
2,2010/12/31,1.2923
2,2011/1/31,1.1447
2,2011/2/28,1.0634
2,2011/3/30,1.0088
2,2011/4/29,0.8793
2,2011/5/31,0.8781
2,2011/6/30,0.9189
2,2011/7/29,0.6488
2,2011/8/31,0.7031
2,2011/9/30,0.7699
2,2011/10/31,0.6263
2,2011/11/30,0.7327
2,2011/12/30,0.4161
2,2012/1/31,0.4398
2,2012/2/29,0.6207
2,2012/3/30,0.6009
2,2012/4/27,0.6399
2,2012/5/31,0.5972
2,2012/6/29,0.5816
2,2012/7/31,0.5595
2,2012/8/31,0.5475
2,2012/9/28,0.427
2,2012/10/31,0.3559
2,2012/11/30,0.1734
2,2012/12/25,0.5197
2,2013/1/31,0.6137
2,2013/2/28,0.6369
2,2013/3/29,0.7389
2,2013/4/26,0.7165
2,2013/5/31,0.6953
2,2013/6/28,0.8443
2,2013/7/31,0.8816
2,2013/8/30,0.8031
2,2013/9/30,0.7614
2,2013/10/31,0.7374
2,2013/11/29,0.9349
2,2013/12/31,0.891
2,2014/1/30,0.7423
2,2014/2/28,0.7378
2,2014/3/31,0.434
2,2014/4/30,0.4576
2,2014/5/30,0.3249
2,2014/6/30,-0.6966
2,2014/7/31,-0.1132
2,2014/8/29,-0.2272
2,2014/9/30,-0.0971
2,2014/10/31,-0.1226
2,2014/11/28,0.2324
2,2014/12/31,-0.4249
2,2015/1/30,-0.741
2,2015/2/27,-1.1036
2,2015/3/31,-0.1271
2,2015/4/30,-0.2809
2,2015/5/29,-0.2944
2,2015/6/30,-0.1409
2,2015/7/31,-0.0379
2,2015/8/31,0.0407
2,2015/9/30,0.0988
2,2015/10/30,0.1128
2,2015/11/30,0.1185
2,2015/12/18,0.1929
2,2016/7/29,0.2853
2,2016/8/31,0.3184
2,2016/9/30,0.3748
2,2016/10/31,0.4279
2,2016/11/30,0.7792
2,2016/12/30,0.9313
2,2017/1/26,1.1396
2,2017/2/28,1.5673
2,2017/3/31,1.5504
2,2017/4/28,3.9491
2,2017/5/31,4.412
2,2017/6/30,2.8702
2,2017/7/31,2.6538
2,2017/8/31,1.5202
2,2017/9/29,1.709
2,2017/10/31,1.917
2,2017/11/30,1.5039
2,2017/12/29,0.6781
2,2018/1/31,0.5633
2,2018/2/28,1.2935
2,2018/3/30,1.1889
2,2018/4/27,1.4761
2,2018/5/31,2.0398
2,2018/6/29,1.1734
2,2018/7/31,1.2394
2,2018/8/31,0.8815
2,2018/9/28,0.5789
2,2018/10/31,0.2025
