,StkCd,Date-year,Date-month,Msmvosd,Msmvttl,Mretwd,Mretnd,bemeA,Beta
0,4,2005,7,166211.4,335066.97,-0.109375,-0.109375,0.506898,1.5095
1,4,2005,8,196621.0,396369.95,0.182957,0.182957,0.506898,1.5595
2,4,2005,9,197454.14,398049.48,0.004237,0.004237,0.506898,1.4627
3,4,2005,10,186206.75,375375.78,-0.056962,-0.056962,0.506898,1.4694
4,4,2005,11,187039.89,377055.31,0.0044740000000000005,0.0044740000000000005,0.506898,1.3780000000000001
5,4,2005,12,172459.95,347663.47,-0.07795099999999999,-0.07795099999999999,0.506898,1.2646
6,4,2008,1,580150.52,745712.95,-0.108434,-0.108434,0.415926,1.153
7,4,2008,2,622616.49,800297.8,0.073198,0.073198,0.415926,1.1246
8,4,2008,3,535071.26,687769.04,-0.14060899999999998,-0.14060899999999998,0.415926,0.992
9,4,2008,4,473658.93,608830.96,-0.114774,-0.114774,0.415926,1.1501
10,4,2008,5,451445.96,580278.89,-0.046897,-0.046897,0.415926,1.1479
11,4,2008,6,309674.94,398049.48,-0.314038,-0.314038,0.415926,1.0792
12,4,2008,7,379580.47,487904.53,0.225738,0.225738,0.415926,0.9399
13,4,2008,8,340287.87,406447.15,-0.166954,-0.166954,0.415926,0.9374
14,4,2008,9,279823.5,334227.2,-0.17768599999999998,-0.17768599999999998,0.415926,1.0107
15,4,2008,10,189126.94,225897.28,-0.324121,-0.324121,0.415926,1.0523
16,4,2008,11,222171.42,265366.32,0.17472100000000002,0.17472100000000002,0.415926,1.0761
17,4,2008,12,250294.38,298957.0,0.126582,0.126582,0.415926,1.2311
18,4,2009,1,295994.2,353541.84,0.182584,0.182584,0.251346,1.2379
19,4,2009,2,312164.9,372856.48,0.054632000000000014,0.054632000000000014,0.251346,1.2032
20,4,2009,3,387393.83,462711.53,0.240991,0.240991,0.251346,1.2364
21,4,2009,4,446452.06,533251.94,0.15245,0.15245,0.251346,1.2534
22,4,2009,5,478090.39,571041.45,0.070866,0.070866,0.251346,1.2466
23,4,2009,6,568786.95,679371.37,0.189706,0.189706,0.251346,1.2184
24,4,2009,7,560350.07,669294.17,-0.014833,-0.014833,0.251346,1.0714
25,4,2009,8,475981.17,568522.15,-0.150565,-0.150565,0.251346,1.0936
26,4,2009,9,566677.73,676852.07,0.190547,0.190547,0.251346,1.0357
27,4,2009,10,627845.18,749911.79,0.10794,0.10794,0.251346,0.748
28,4,2009,11,703074.11,839766.84,0.119821,0.119821,0.251346,0.7395
29,4,2010,2,728384.78,869998.45,0.036000000000000004,0.036000000000000004,0.318787,0.7822
30,4,2010,3,800098.34,955654.66,0.098456,0.098456,0.318787,0.7369
31,4,2010,4,728384.78,869998.45,-0.08963099999999999,-0.08963099999999999,0.318787,0.8288
32,4,2010,5,632766.7,755790.16,-0.131274,-0.131274,0.318787,0.8598
33,4,2010,6,592691.47,707923.45,-0.063333,-0.063333,0.318787,0.8423
34,4,2010,7,677060.37,808695.47,0.142349,0.142349,0.318787,0.8433
35,4,2010,8,795176.82,949776.3,0.174455,0.174455,0.318787,0.8348
36,4,2010,9,955361.13,956494.43,0.007073,0.007073,0.318787,1.0468
37,4,2010,10,1007364.98,1008559.97,0.054434,0.054434,0.318787,1.0319
38,4,2010,11,1078660.59,1079940.16,0.070774,0.070774,0.318787,0.9634
39,4,2010,12,1009881.3,1011079.28,-0.063764,-0.063764,0.318787,1.012
40,4,2011,1,1019107.79,1020316.71,0.009136,0.009136,0.185439,0.9462
41,4,2011,2,1153311.28,1154679.41,0.131687,0.131687,0.185439,0.9917
42,4,2011,3,1105501.29,1106812.7,-0.041455,-0.041455,0.185439,0.9940000000000001
43,4,2011,4,1052658.66,1053907.38,-0.0478,-0.0478,0.185439,0.9812
44,4,2011,5,1030011.82,1031233.68,-0.021514,-0.021514,0.185439,0.8537
45,4,2011,6,1029173.05,1030393.91,-0.000814,-0.000814,0.185439,0.8263
46,4,2011,7,1129825.67,1131165.93,0.0978,0.0978,0.185439,0.8195
47,4,2011,8,1013236.38,1014438.34,-0.103192,-0.103192,0.185439,0.726
48,4,2011,9,872322.71,873357.51,-0.139073,-0.139073,0.185439,0.8598
49,4,2011,10,906712.36,907787.95,0.039423,0.039423,0.185439,1.0647
50,4,2011,11,905873.59,906948.19,-0.000925,-0.000925,0.185439,1.0165
51,4,2011,12,678566.42,679371.37,-0.25092600000000004,-0.25092600000000004,0.185439,1.3188
52,4,2012,1,693650.05,694487.18,0.02225,0.02225,0.283379,1.4012
53,4,2012,2,790945.58,791900.13,0.140266,0.140266,0.283379,1.3331
54,4,2012,3,681907.48,682730.44,-0.13785799999999998,-0.13785799999999998,0.283379,1.3732
55,4,2012,4,715457.67,716321.11,0.0492,0.0492,0.283379,1.3293
56,4,2012,5,787590.56,788541.06,0.100821,0.100821,0.283379,1.4482
57,4,2012,6,710425.14,711282.51,-0.097977,-0.097977,0.283379,1.5224
58,4,2012,7,669326.16,670133.94,-0.057851,-0.057851,0.283379,1.4358
59,4,2012,8,665971.14,666774.87,-0.005013,-0.005013,0.283379,1.4259
60,4,2012,9,681068.73,681890.67,0.02267,0.02267,0.283379,1.4677
61,4,2012,10,690295.03,691128.11,0.013547,0.013547,0.283379,1.4799
62,4,2012,11,607258.32,607991.19,-0.120292,-0.120292,0.283379,1.4649
63,4,2012,12,686101.25,686929.28,0.129834,0.129834,0.283379,1.0777
64,4,2013,1,781719.28,782662.69,0.13936400000000002,0.13936400000000002,0.23608,1.1351
65,4,2013,2,842948.36,843965.67,0.07832599999999999,0.07832599999999999,0.23608,1.1431
66,4,2013,3,800171.88,801137.57,-0.050746,-0.050746,0.23608,1.0664
67,4,2013,4,892434.88,893511.92,0.115304,0.115304,0.23608,1.0608
68,4,2013,5,983859.13,985046.5,0.102444,0.102444,0.23608,0.9463
69,4,2013,6,838754.59,839766.84,-0.14748499999999998,-0.14748499999999998,0.23608,0.9488
70,4,2013,7,846303.38,847324.74,0.009000000000000001,0.009000000000000001,0.23608,0.9064
71,4,2013,8,1019925.58,1021156.48,0.205154,0.205154,0.23608,0.973
72,4,2013,9,1067734.59,1069023.19,0.046875,0.046875,0.23608,0.9573
73,4,2013,10,978826.61,980007.9,-0.083268,-0.083268,0.23608,1.0003
74,4,2013,11,1049281.99,1050548.32,0.071979,0.071979,0.23608,0.9407
75,4,2013,12,977149.1,978328.37,-0.068745,-0.068745,0.23608,1.1026
76,4,2014,1,1031668.15,1032913.21,0.055794,0.055794,0.236758,1.0563
77,4,2014,2,1182643.97,1184071.24,0.146341,0.146341,0.236758,1.0373
78,4,2014,3,1071089.61,1072382.25,-0.094326,-0.094326,0.236758,1.079
79,4,2014,4,1128963.68,1130326.17,0.054033000000000005,0.054033000000000005,0.236758,1.1111
80,4,2014,5,1102962.29,1104293.39,-0.023031,-0.023031,0.236758,1.2435
81,4,2014,6,1164191.37,1165596.37,0.055513,0.055513,0.236758,1.4443
82,4,2014,7,1225420.46,1226899.35,0.052594000000000016,0.052594000000000016,0.236758,1.5047
83,4,2014,8,1217032.91,1218501.68,-0.006845,-0.006845,0.236758,1.0956
84,4,2014,9,1570148.59,1572043.52,0.290145,0.290145,0.236758,1.7730000000000001
85,4,2014,10,1875455.26,1877718.65,0.194444,0.194444,0.236758,1.6105
86,4,2014,11,1878810.28,1881077.72,0.001789,0.001789,0.236758,1.5444
87,4,2014,12,1305940.9,1307516.97,-0.304911,-0.304911,0.236758,1.8316
88,4,2015,1,1455239.21,1456995.47,0.114322,0.114322,0.107841,1.8568
89,4,2015,2,1570148.59,1572043.52,0.078963,0.078963,0.107841,1.9438
90,4,2015,3,2011333.51,2013760.88,0.280983,0.280983,0.107841,1.6577
91,4,2015,4,2124565.38,2127129.41,0.056297,0.056297,0.107841,1.4956
92,4,2015,5,2835829.27,2839251.69,0.334781,0.334781,0.107841,1.5402
93,4,2015,6,3229205.17,3233102.33,0.138716,0.138716,0.107841,0.8378
94,4,2015,7,2470132.27,2473113.34,-0.235065,-0.235065,0.107841,1.0298
95,4,2015,8,2680659.67,2683894.82,0.085229,0.085229,0.107841,0.7746
96,4,2015,9,2127081.64,2129648.71,-0.206508,-0.206508,0.107841,0.8016
97,4,2015,10,2725952.42,2729242.23,0.281546,0.281546,0.107841,0.8878
98,4,2015,11,3341598.29,3345631.09,0.225846,0.225846,0.107841,0.9135
99,4,2015,12,3807950.48,3854529.8,0.152108,0.152108,0.107841,0.8517
100,4,2017,1,3176679.46,3215467.23,-0.147216,-0.147216,0.106168,1.5407
101,4,2017,2,3235583.68,3275090.68,0.018543,0.018543,0.106168,1.4738
102,4,2017,3,2986692.62,3023160.62,-0.076923,-0.076923,0.106168,1.5429
103,4,2017,6,2128018.49,2154001.94,-0.2875,-0.2875,0.106168,1.3124
104,4,2017,7,1850919.79,1873519.82,-0.130214,-0.130214,0.106168,1.2636
105,4,2017,8,1920609.28,1944060.23,0.037651,0.037651,0.106168,1.319
106,4,2017,9,1996935.87,2021318.78,0.039741000000000005,0.039741000000000005,0.106168,1.3772
107,4,2017,10,1962920.76,1986888.34,-0.017034,-0.017034,0.106168,-0.6898
108,4,2017,11,2120551.76,2146444.04,0.080304,0.080304,0.106168,-0.9155
109,4,2017,12,1856727.25,1879398.19,-0.124413,-0.124413,0.106168,-1.0754
110,4,2018,1,1675866.42,1696329.02,-0.097408,-0.097408,0.194631,-1.2878
111,4,2018,2,1710071.59,1729919.69,0.019802,0.019802,0.194631,-1.1432
112,4,2018,3,1896851.25,1918867.23,0.109223,0.109223,0.194631,-1.2277
113,4,2018,4,1730824.89,1750913.86,-0.087527,-0.087527,0.194631,-1.0826
114,4,2018,5,1871947.3,1893674.22,0.081535,0.081535,0.194631,-1.1538
115,4,2018,6,1627058.41,1645943.01,-0.13082,-0.13082,0.194631,0.9067
116,4,2018,7,1522461.79,1540132.38,-0.064286,-0.064286,0.194631,0.9834
117,4,2018,8,1442769.14,1459514.77,-0.052345,-0.052345,0.194631,0.8831
118,4,2018,9,1319909.63,1335229.28,-0.085155,-0.085155,0.194631,0.6971
119,4,2018,10,1290024.88,1304997.67,-0.022642,-0.022642,0.194631,0.45299999999999996
120,4,2018,11,1346473.84,1362101.81,0.043758,0.043758,0.194631,0.6734
121,4,2018,12,1330701.34,1346146.24,-0.011714,-0.011714,0.194631,0.7982
122,7,2010,1,1278110.66,1278110.66,-0.01707,-0.01707,0.267875,0.5508
123,7,2010,2,1437180.87,1437180.87,0.124457,0.124457,0.267875,0.5255
124,7,2010,3,1396488.49,1396488.49,-0.028314,-0.028314,0.267875,0.6228
125,7,2010,4,1520415.28,1520415.28,0.088742,0.088742,0.267875,0.5044
126,7,2010,5,1300306.5,1300306.5,-0.144769,-0.144769,0.267875,0.6369
127,7,2010,6,1302156.16,1302156.16,0.001422,0.001422,0.267875,0.5809
128,7,2010,7,1402037.45,1402037.45,0.076705,0.076705,0.267875,0.3591
129,7,2010,8,1451978.1,1451978.1,0.03562,0.03562,0.267875,0.441
130,7,2010,9,1531513.21,1531513.21,0.054777,0.054777,0.267875,0.4499
131,7,2010,11,1627695.19,1627695.19,0.062802,0.062802,0.267875,0.302
132,7,2010,12,1581453.85,1581453.85,-0.028409,-0.028409,0.267875,0.3275
133,7,2011,1,1544460.78,1544460.78,-0.023392,-0.023392,0.182101,0.3363
134,7,2011,2,1603649.7,1603649.7,0.038323,0.038323,0.182101,0.2804
135,7,2011,3,1618446.93,1618446.93,0.009227,0.009227,0.182101,0.2849
136,7,2011,4,1692433.07,1692433.07,0.045714,0.045714,0.182101,0.3773
137,7,2011,5,1448278.79,1808458.79,-0.144262,-0.144262,0.182101,0.3796
138,7,2011,6,1474173.94,1840793.94,0.01788,0.01788,0.182101,0.43200000000000005
139,7,2011,7,1520415.28,1898535.28,0.031368,0.031368,0.182101,0.3992
140,7,2011,8,1511167.02,1886987.02,-0.006083,-0.006083,0.182101,0.4002
141,7,2011,9,1409436.07,1759956.07,-0.067319,-0.067319,0.182101,0.4336
142,7,2011,10,1483422.21,1852342.21,0.052493,0.052493,0.182101,0.6765
143,7,2011,11,1485271.86,1854651.86,0.001247,0.001247,0.182101,0.6429
144,7,2011,12,1217072.09,1519752.09,-0.180573,-0.180573,0.182101,0.8789
145,8,2005,7,174335.43,363846.85,-0.124113,-0.124113,0.209867,0.7981
146,8,2005,8,196215.59,409511.84,0.125506,0.125506,0.209867,0.9279999999999999
147,8,2005,9,184569.7,385206.28,-0.059353,-0.059353,0.209867,0.9061
148,8,2005,10,158807.58,331439.44,-0.139579,-0.139579,0.209867,0.9776
149,8,2005,11,173629.62,362373.78,0.093333,0.093333,0.209867,1.0045
150,8,2005,12,171935.3,299032.02,-0.009756,-0.009756,0.209867,0.9906
151,8,2006,1,179134.57,311553.07,0.041872,0.041872,0.214148,1.4256
