,Stkcd,Trdmnt,Msmvosd,Msmvttl,Mretwd,Mretnd,Markettype,Trdmnt_year,Trdmnt_mon,bemeA
0,12,2006-1-1,917876.77,3236909.38,0.235931,0.235931,4,2006,2006-01,0.835699
1,12,2006-2-1,858399.64,3027162.19,-0.064799,-0.064799,4,2006,2006-02,0.835699
2,12,2006-3-1,930736.69,3282260.13,0.08427,0.08427,4,2006,2006-03,0.835699
3,12,2006-4-1,1249019.7,4404691.05,0.341969,0.341969,4,2006,2006-04,0.835699
4,12,2006-5-1,2263319.74,5895596.77,0.813642,0.813642,4,2006,2006-05,0.835699
5,12,2006-6-1,1862886.25,4852529.65,-0.159181,-0.159615,4,2006,2006-06,0.835699
6,12,2006-7-1,1464629.02,3815131.37,-0.213785,-0.213785,4,2006,2006-07,0.835699
7,12,2006-8-1,1736662.65,4523736.75,0.18573599999999998,0.18573599999999998,4,2006,2006-08,0.835699
8,12,2006-9-1,1762777.87,4591762.87,0.015038,0.015038,4,2006,2006-09,0.835699
9,12,2006-10-1,1736662.65,4523736.75,-0.014815,-0.014815,4,2006,2006-10,0.835699
10,12,2006-11-1,1999991.19,5209666.76,0.15162899999999999,0.15162899999999999,4,2006,2006-11,0.835699
11,12,2006-12-1,2393895.88,6235727.36,0.196953,0.196953,4,2006,2006-12,0.835699
12,21,2009-1-1,1776878.29,4239279.27,0.164251,0.164251,4,2009,2009-01,0.513415
13,21,2009-2-1,2351967.53,5611328.16,0.323651,0.323651,4,2009,2009-02,0.513415
14,21,2009-3-1,2654258.03,6332533.35,0.128527,0.128527,4,2009,2009-03,0.513415
15,21,2009-4-1,3100320.84,7396750.76,0.16805599999999998,0.16805599999999998,4,2009,2009-04,0.513415
16,21,2009-5-1,9629416.95,9639522.99,0.30321,0.30321,4,2009,2009-05,0.513415
17,21,2009-6-1,9840280.09,9850607.44,0.03582,0.035584,4,2009,2009-06,0.513415
18,21,2009-7-1,11000027.39,11011571.88,0.11785699999999999,0.11785699999999999,4,2009,2009-07,0.513415
19,21,2009-8-1,9181332.77,9190968.54,-0.16533499999999998,-0.16533499999999998,4,2009,2009-08,0.513415
20,21,2009-9-1,9857852.02,9868197.81,0.073684,0.073684,4,2009,2009-09,0.513415
21,21,2009-10-1,10736448.46,10747716.33,0.089127,0.089127,4,2009,2009-10,0.513415
22,21,2009-11-1,11825908.04,11838319.29,0.10147300000000001,0.10147300000000001,4,2009,2009-11,0.513415
23,21,2009-12-1,11325108.07,11336993.74,-0.042348000000000004,-0.042348000000000004,4,2009,2009-12,0.513415
24,21,2010-1-1,11456897.54,11468921.51,0.011637,0.011637,4,2010,2010-01,0.42418199999999995
25,21,2010-2-1,11465683.5,11477716.7,0.000767,0.000767,4,2010,2010-02,0.42418199999999995
26,21,2010-3-1,12599072.91,12612295.59,0.098851,0.098851,4,2010,2010-03,0.42418199999999995
27,21,2010-4-1,12985655.34,12999283.74,0.030683,0.030683,4,2010,2010-04,0.42418199999999995
28,21,2010-5-1,13495241.27,13509404.48,0.039242,0.039242,4,2010,2010-05,0.42418199999999995
29,21,2010-6-1,13956504.4,13971151.7,0.046513,0.047201,4,2010,2010-06,0.42418199999999995
30,21,2010-7-1,15551156.93,15567477.82,0.11425899999999999,0.11425899999999999,4,2010,2010-07,0.42418199999999995
31,21,2010-8-1,17079914.73,17097840.04,0.09830499999999999,0.09830499999999999,4,2010,2010-08,0.42418199999999995
